state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Pennsylvania,2/17/2020,8.0,-1.0,43.0,-11.0,-21.0,5.0
Rhode Island,2/17/2020,13.0,-3.0,91.0,-13.0,-31.0,7.0
South Carolina,2/17/2020,6.0,2.0,37.0,8.0,-15.0,3.0
South Dakota,2/17/2020,3.0,0.0,-7.0,4.0,-23.0,6.0
Tennessee,2/17/2020,6.0,-2.0,46.0,4.0,-15.0,4.0
Texas,2/17/2020,6.0,2.0,21.0,2.0,-18.0,4.0
Utah,2/17/2020,18.0,8.0,41.0,-7.0,-39.0,7.0
Vermont,2/17/2020,19.0,9.0,41.0,19.0,-18.0,4.0
Virginia,2/17/2020,8.0,2.0,41.0,-6.0,-27.0,6.0
Washington,2/17/2020,12.0,2.0,63.0,-7.0,-35.0,6.0
West Virginia,2/17/2020,5.0,-2.0,14.0,3.0,-15.0,4.0
Wisconsin,2/17/2020,-6.0,-2.0,-1.0,-7.0,-5.0,3.0
Wyoming,2/17/2020,2.0,2.0,2.0,6.0,-26.0,6.0
Alabama,2/18/2020,-4.0,-3.0,-11.0,-1.0,1.0,2.0
Alaska,2/18/2020,-2.0,-2.0,1.0,4.0,-2.0,2.0
Arizona,2/18/2020,2.0,2.0,14.0,6.0,2.0,0.0
Arkansas,2/18/2020,-3.0,-4.0,-3.0,-2.0,0.0,1.0
California,2/18/2020,0.0,0.0,16.0,3.0,0.0,0.0
Colorado,2/18/2020,-5.0,-4.0,-18.0,1.0,-4.0,3.0
Connecticut,2/18/2020,-1.0,-5.0,-14.0,0.0,-8.0,3.0
Delaware,2/18/2020,4.0,0.0,32.0,7.0,3.0,-1.0
District of Columbia,2/18/2020,-5.0,-2.0,13.0,-3.0,-5.0,1.0
Florida,2/18/2020,3.0,2.0,13.0,6.0,1.0,0.0
Georgia,2/18/2020,-4.0,-5.0,-23.0,1.0,-5.0,3.0
Hawaii,2/18/2020,0.0,-2.0,1.0,6.0,-1.0,1.0
Idaho,2/18/2020,1.0,3.0,20.0,9.0,1.0,0.0
Illinois,2/18/2020,1.0,-1.0,5.0,2.0,1.0,0.0
Indiana,2/18/2020,1.0,-1.0,3.0,4.0,2.0,0.0
Iowa,2/18/2020,-3.0,6.0,5.0,-1.0,1.0,0.0
Kansas,2/18/2020,3.0,-1.0,18.0,0.0,0.0,0.0
Kentucky,2/18/2020,-3.0,-3.0,-7.0,0.0,2.0,1.0
Louisiana,2/18/2020,3.0,2.0,13.0,3.0,1.0,0.0
Maine,2/18/2020,-9.0,-7.0,-8.0,4.0,-13.0,5.0
Maryland,2/18/2020,2.0,0.0,21.0,4.0,2.0,0.0
Massachusetts,2/18/2020,-4.0,-10.0,-18.0,-4.0,-10.0,3.0
Michigan,2/18/2020,-2.0,-4.0,-4.0,2.0,-6.0,2.0
Minnesota,2/18/2020,-2.0,-1.0,-9.0,6.0,-1.0,1.0
Mississippi,2/18/2020,-2.0,0.0,-2.0,0.0,1.0,1.0
