state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
New Hampshire,4/16/2020,-36.0,-14.0,14.0,-48.0,-48.0,22.0
New Jersey,4/16/2020,-58.0,-20.0,-24.0,-68.0,-62.0,28.0
New Mexico,4/16/2020,-31.0,-7.0,-2.0,-26.0,-46.0,18.0
New York,4/16/2020,-61.0,-20.0,-35.0,-70.0,-61.0,27.0
North Carolina,4/16/2020,-29.0,-6.0,12.0,-45.0,-44.0,17.0
North Dakota,4/16/2020,-35.0,-10.0,7.0,-31.0,-36.0,18.0
Ohio,4/16/2020,-33.0,-8.0,26.0,-31.0,-48.0,20.0
Oklahoma,4/16/2020,-20.0,-1.0,32.0,-16.0,-41.0,15.0
Oregon,4/16/2020,-34.0,-7.0,35.0,-41.0,-48.0,17.0
Pennsylvania,4/16/2020,-42.0,-16.0,-13.0,-54.0,-52.0,22.0
Rhode Island,4/16/2020,-37.0,-14.0,19.0,-64.0,-51.0,22.0
South Carolina,4/16/2020,-26.0,-5.0,-19.0,-27.0,-41.0,16.0
South Dakota,4/16/2020,-33.0,-4.0,20.0,-21.0,-37.0,18.0
Tennessee,4/16/2020,-25.0,-3.0,1.0,-31.0,-42.0,15.0
Texas,4/16/2020,-32.0,-12.0,-4.0,-41.0,-47.0,20.0
Utah,4/16/2020,-34.0,-12.0,11.0,-47.0,-48.0,20.0
Vermont,4/16/2020,-47.0,-24.0,-9.0,-55.0,-54.0,23.0
Virginia,4/16/2020,-34.0,-12.0,14.0,-50.0,-49.0,20.0
Washington,4/16/2020,-35.0,-10.0,44.0,-53.0,-55.0,21.0
West Virginia,4/16/2020,-29.0,-9.0,-6.0,-28.0,-42.0,15.0
Wisconsin,4/16/2020,-40.0,-13.0,38.0,-33.0,-44.0,20.0
Wyoming,4/16/2020,-40.0,-18.0,-31.0,-33.0,-40.0,19.0
Alabama,4/17/2020,-29.0,-8.0,19.0,-30.0,-40.0,17.0
Alaska,4/17/2020,-32.0,-10.0,19.0,-44.0,-39.0,18.0
Arizona,4/17/2020,-37.0,-15.0,-19.0,-39.0,-46.0,19.0
Arkansas,4/17/2020,-23.0,-5.0,23.0,-25.0,-36.0,14.0
California,4/17/2020,-56.0,-17.0,-39.0,-54.0,-50.0,24.0
Colorado,4/17/2020,-43.0,-20.0,-18.0,-56.0,-52.0,23.0
Connecticut,4/17/2020,-42.0,-18.0,5.0,-55.0,-51.0,24.0
Delaware,4/17/2020,-40.0,-22.0,-18.0,-52.0,-48.0,22.0
District of Columbia,4/17/2020,-64.0,-32.0,-61.0,-76.0,-67.0,29.0
Florida,4/17/2020,-44.0,-21.0,-47.0,-58.0,-47.0,21.0
Georgia,4/17/2020,-33.0,-12.0,27.0,-49.0,-46.0,19.0
Hawaii,4/17/2020,-52.0,-30.0,-63.0,-68.0,-47.0,24.0
Idaho,4/17/2020,-30.0,-6.0,79.0,-29.0,-42.0,15.0
Illinois,4/17/2020,-47.0,-18.0,-41.0,-55.0,-51.0,24.0
Indiana,4/17/2020,-41.0,-19.0,-19.0,-35.0,-47.0,23.0
Iowa,4/17/2020,-36.0,-3.0,27.0,-26.0,-39.0,17.0
Kansas,4/17/2020,-34.0,-15.0,26.0,-27.0,-41.0,17.0
Kentucky,4/17/2020,-34.0,-11.0,6.0,-38.0,-45.0,20.0
Louisiana,4/17/2020,-36.0,-9.0,-15.0,-44.0,-43.0,19.0
Maine,4/17/2020,-40.0,-17.0,5.0,-50.0,-45.0,20.0
Maryland,4/17/2020,-40.0,-20.0,-7.0,-55.0,-54.0,26.0
Massachusetts,4/17/2020,-48.0,-21.0,-7.0,-70.0,-58.0,27.0
Michigan,4/17/2020,-57.0,-29.0,-26.0,-58.0,-60.0,29.0
Minnesota,4/17/2020,-40.0,-13.0,37.0,-53.0,-48.0,23.0
Mississippi,4/17/2020,-27.0,-9.0,-6.0,-29.0,-39.0,16.0
Missouri,4/17/2020,-34.0,-14.0,-7.0,-33.0,-38.0,19.0
Montana,4/17/2020,-37.0,-2.0,41.0,-26.0,-38.0,15.0
Nebraska,4/17/2020,-33.0,-8.0,-1.0,-21.0,-39.0,20.0
Nevada,4/17/2020,-44.0,-17.0,-42.0,-55.0,-53.0,22.0
New Hampshire,4/17/2020,-39.0,-16.0,8.0,-56.0,-47.0,23.0
New Jersey,4/17/2020,-59.0,-22.0,-31.0,-68.0,-60.0,30.0
New Mexico,4/17/2020,-35.0,-8.0,-10.0,-30.0,-43.0,18.0
New York,4/17/2020,-62.0,-22.0,-43.0,-68.0,-60.0,29.0
North Carolina,4/17/2020,-31.0,-8.0,32.0,-45.0,-43.0,17.0
North Dakota,4/17/2020,-38.0,-10.0,22.0,-30.0,-34.0,20.0
Ohio,4/17/2020,-43.0,-20.0,-17.0,-38.0,-48.0,23.0
Oklahoma,4/17/2020,-30.0,-12.0,-13.0,-22.0,-41.0,18.0
Oregon,4/17/2020,-38.0,-11.0,33.0,-41.0,-46.0,17.0
Pennsylvania,4/17/2020,-47.0,-22.0,-25.0,-56.0,-51.0,24.0
Rhode Island,4/17/2020,-39.0,-15.0,13.0,-64.0,-49.0,23.0
South Carolina,4/17/2020,-30.0,-7.0,-16.0,-30.0,-41.0,15.0
South Dakota,4/17/2020,-32.0,-4.0,52.0,-22.0,-35.0,19.0
Tennessee,4/17/2020,-30.0,-8.0,6.0,-33.0,-42.0,16.0
Texas,4/17/2020,-37.0,-16.0,-33.0,-43.0,-46.0,22.0
Utah,4/17/2020,-35.0,-12.0,38.0,-44.0,-45.0,19.0
Vermont,4/17/2020,-50.0,-29.0,-23.0,-59.0,-54.0,24.0
Virginia,4/17/2020,-36.0,-15.0,19.0,-51.0,-48.0,21.0
Washington,4/17/2020,-40.0,-14.0,31.0,-54.0,-54.0,21.0
West Virginia,4/17/2020,-36.0,-18.0,-14.0,-34.0,-41.0,17.0
Wisconsin,4/17/2020,-43.0,-17.0,32.0,-34.0,-44.0,22.0
Wyoming,4/17/2020,-33.0,-9.0,-2.0,-8.0,-34.0,17.0
Alabama,4/18/2020,-33.0,-5.0,12.0,-26.0,-24.0,9.0
Alaska,4/18/2020,-33.0,-7.0,49.0,-44.0,-27.0,9.0
Arizona,4/18/2020,-40.0,-15.0,-29.0,-38.0,-32.0,12.0
Arkansas,4/18/2020,-25.0,-1.0,36.0,-20.0,-19.0,7.0
California,4/18/2020,-59.0,-18.0,-47.0,-50.0,-35.0,17.0
Colorado,4/18/2020,-47.0,-22.0,-29.0,-53.0,-36.0,15.0
Connecticut,4/18/2020,-51.0,-24.0,-12.0,-59.0,-38.0,17.0
Delaware,4/18/2020,-45.0,-23.0,-27.0,-49.0,-35.0,15.0
District of Columbia,4/18/2020,-70.0,-31.0,-69.0,-71.0,-47.0,18.0
Florida,4/18/2020,-49.0,-25.0,-60.0,-62.0,-38.0,15.0
Georgia,4/18/2020,-36.0,-10.0,9.0,-47.0,-31.0,12.0
Hawaii,4/18/2020,-55.0,-30.0,-63.0,-72.0,-44.0,17.0
Idaho,4/18/2020,-33.0,-6.0,73.0,-22.0,-29.0,8.0
Illinois,4/18/2020,-42.0,-7.0,21.0,-40.0,-32.0,13.0
Indiana,4/18/2020,-35.0,-6.0,78.0,-22.0,-31.0,11.0
Iowa,4/18/2020,-38.0,4.0,84.0,-22.0,-23.0,10.0
Kansas,4/18/2020,-39.0,-12.0,93.0,-22.0,-26.0,11.0
Kentucky,4/18/2020,-34.0,-3.0,67.0,-29.0,-29.0,9.0
Louisiana,4/18/2020,-43.0,-12.0,-46.0,-47.0,-31.0,14.0
Maine,4/18/2020,-46.0,-22.0,-14.0,-56.0,-32.0,13.0
Maryland,4/18/2020,-45.0,-19.0,-14.0,-50.0,-37.0,16.0
Massachusetts,4/18/2020,-59.0,-33.0,-44.0,-70.0,-45.0,19.0
Michigan,4/18/2020,-53.0,-21.0,59.0,-49.0,-40.0,15.0
Minnesota,4/18/2020,-43.0,-11.0,66.0,-48.0,-31.0,13.0
Mississippi,4/18/2020,-29.0,-5.0,-11.0,-29.0,-26.0,10.0
Missouri,4/18/2020,-37.0,-6.0,55.0,-27.0,-27.0,10.0
Montana,4/18/2020,-42.0,-7.0,8.0,-28.0,-32.0,10.0
Nebraska,4/18/2020,-33.0,-5.0,62.0,-12.0,-21.0,10.0
Nevada,4/18/2020,-47.0,-17.0,-51.0,-53.0,-51.0,16.0
New Hampshire,4/18/2020,-49.0,-27.0,-37.0,-58.0,-37.0,15.0
New Jersey,4/18/2020,-64.0,-27.0,-43.0,-68.0,-44.0,19.0
New Mexico,4/18/2020,-42.0,-14.0,-22.0,-31.0,-32.0,13.0
New York,4/18/2020,-65.0,-25.0,-40.0,-67.0,-45.0,18.0
North Carolina,4/18/2020,-36.0,-10.0,10.0,-45.0,-30.0,11.0
North Dakota,4/18/2020,-43.0,-10.0,12.0,-36.0,-23.0,13.0
Ohio,4/18/2020,-38.0,-10.0,79.0,-26.0,-32.0,12.0
Oklahoma,4/18/2020,-30.0,-4.0,19.0,-17.0,-26.0,10.0
Oregon,4/18/2020,-45.0,-17.0,-12.0,-41.0,-34.0,12.0
Pennsylvania,4/18/2020,-49.0,-19.0,-13.0,-49.0,-36.0,15.0
Rhode Island,4/18/2020,-54.0,-26.0,-41.0,-68.0,-41.0,17.0
South Carolina,4/18/2020,-34.0,-7.0,-12.0,-33.0,-29.0,10.0
South Dakota,4/18/2020,-37.0,-1.0,65.0,-25.0,-26.0,11.0
Tennessee,4/18/2020,-33.0,-4.0,2.0,-28.0,-27.0,9.0
Texas,4/18/2020,-41.0,-17.0,-43.0,-42.0,-31.0,14.0
Utah,4/18/2020,-38.0,-14.0,48.0,-36.0,-28.0,11.0
Vermont,4/18/2020,-54.0,-31.0,10.0,-62.0,-41.0,13.0
Virginia,4/18/2020,-43.0,-14.0,-13.0,-48.0,-33.0,14.0
Washington,4/18/2020,-47.0,-18.0,-8.0,-48.0,-38.0,13.0
West Virginia,4/18/2020,-36.0,-13.0,-8.0,-27.0,-29.0,10.0
Wisconsin,4/18/2020,-42.0,-10.0,85.0,-27.0,-27.0,12.0
Wyoming,4/18/2020,-32.0,-7.0,24.0,-4.0,-24.0,9.0
Alabama,4/19/2020,-45.0,-24.0,-44.0,-45.0,-37.0,12.0
Alaska,4/19/2020,-28.0,-11.0,44.0,-51.0,-28.0,7.0
Arizona,4/19/2020,-38.0,-16.0,-15.0,-42.0,-34.0,9.0
Arkansas,4/19/2020,-31.0,-12.0,-26.0,-34.0,-29.0,9.0
California,4/19/2020,-59.0,-21.0,-39.0,-52.0,-37.0,14.0
Colorado,4/19/2020,-43.0,-20.0,1.0,-55.0,-38.0,12.0
Connecticut,4/19/2020,-41.0,-23.0,73.0,-55.0,-34.0,11.0
Delaware,4/19/2020,-42.0,-21.0,26.0,-53.0,-37.0,11.0
District of Columbia,4/19/2020,-67.0,-33.0,-48.0,-71.0,-48.0,15.0
Florida,4/19/2020,-48.0,-23.0,-52.0,-64.0,-40.0,13.0
Georgia,4/19/2020,-50.0,-27.0,-58.0,-62.0,-42.0,14.0
Hawaii,4/19/2020,-56.0,-32.0,-62.0,-75.0,-46.0,15.0
Idaho,4/19/2020,-21.0,-2.0,138.0,-26.0,-34.0,6.0
Illinois,4/19/2020,-43.0,-16.0,53.0,-48.0,-36.0,11.0
Indiana,4/19/2020,-36.0,-14.0,64.0,-31.0,-34.0,9.0
Iowa,4/19/2020,-31.0,2.0,135.0,-29.0,-27.0,7.0
Kansas,4/19/2020,-30.0,-15.0,72.0,-23.0,-31.0,8.0
Kentucky,4/19/2020,-36.0,-11.0,26.0,-38.0,-33.0,9.0
Louisiana,4/19/2020,-44.0,-17.0,-40.0,-55.0,-35.0,12.0
Maine,4/19/2020,-31.0,-10.0,102.0,-47.0,-27.0,7.0
Maryland,4/19/2020,-45.0,-20.0,40.0,-51.0,-40.0,13.0
Massachusetts,4/19/2020,-45.0,-25.0,62.0,-62.0,-39.0,12.0
Michigan,4/19/2020,-50.0,-24.0,80.0,-54.0,-41.0,11.0
Minnesota,4/19/2020,-39.0,-13.0,92.0,-55.0,-34.0,10.0
Mississippi,4/19/2020,-42.0,-22.0,-39.0,-41.0,-36.0,12.0
Missouri,4/19/2020,-32.0,-10.0,41.0,-34.0,-31.0,8.0
Montana,4/19/2020,-36.0,-8.0,44.0,-31.0,-32.0,7.0
Nebraska,4/19/2020,-31.0,-10.0,57.0,-19.0,-25.0,8.0
Nevada,4/19/2020,-46.0,-19.0,-33.0,-60.0,-52.0,13.0
New Hampshire,4/19/2020,-37.0,-23.0,82.0,-45.0,-33.0,9.0
New Jersey,4/19/2020,-62.0,-28.0,1.0,-67.0,-42.0,15.0
New Mexico,4/19/2020,-37.0,-13.0,-10.0,-34.0,-32.0,10.0
New York,4/19/2020,-62.0,-26.0,11.0,-64.0,-43.0,14.0
North Carolina,4/19/2020,-38.0,-15.0,-10.0,-54.0,-36.0,10.0
North Dakota,4/19/2020,-38.0,-12.0,51.0,-39.0,-26.0,9.0
Ohio,4/19/2020,-38.0,-16.0,90.0,-35.0,-34.0,9.0
Oklahoma,4/19/2020,-31.0,-12.0,2.0,-25.0,-32.0,9.0
Oregon,4/19/2020,-38.0,-14.0,16.0,-41.0,-36.0,9.0
Pennsylvania,4/19/2020,-45.0,-20.0,71.0,-49.0,-36.0,11.0
Rhode Island,4/19/2020,-38.0,-22.0,53.0,-58.0,-35.0,11.0
South Carolina,4/19/2020,-41.0,-16.0,-48.0,-40.0,-37.0,11.0
South Dakota,4/19/2020,-34.0,-7.0,65.0,-34.0,-28.0,9.0
Tennessee,4/19/2020,-38.0,-13.0,-31.0,-44.0,-36.0,10.0
Texas,4/19/2020,-42.0,-22.0,-44.0,-49.0,-36.0,13.0
Utah,4/19/2020,-33.0,-14.0,40.0,-45.0,-39.0,9.0
Vermont,4/19/2020,-48.0,-26.0,50.0,-63.0,-39.0,9.0
Virginia,4/19/2020,-40.0,-15.0,22.0,-53.0,-36.0,11.0
Washington,4/19/2020,-37.0,-17.0,17.0,-47.0,-37.0,10.0
West Virginia,4/19/2020,-31.0,-10.0,40.0,-24.0,-30.0,7.0
Wisconsin,4/19/2020,-39.0,-16.0,112.0,-36.0,-30.0,9.0
Wyoming,4/19/2020,-30.0,-14.0,7.0,-20.0,-28.0,8.0
Alabama,4/2/2020,-32.0,3.0,12.0,-25.0,-39.0,16.0
Alaska,4/2/2020,-42.0,-14.0,-3.0,-50.0,-45.0,19.0
Arizona,4/2/2020,-38.0,-16.0,-17.0,-40.0,-47.0,18.0
Arkansas,4/2/2020,-24.0,2.0,59.0,-21.0,-36.0,13.0
California,4/2/2020,-41.0,-15.0,-30.0,-54.0,-53.0,23.0
Colorado,4/2/2020,-48.0,-23.0,-46.0,-63.0,-56.0,24.0
Connecticut,4/2/2020,-44.0,-12.0,-3.0,-54.0,-51.0,23.0
Delaware,4/2/2020,-37.0,-17.0,9.0,-46.0,-48.0,20.0
District of Columbia,4/2/2020,-61.0,-30.0,-58.0,-77.0,-70.0,29.0
Florida,4/2/2020,-39.0,-11.0,-42.0,-55.0,-46.0,19.0
Georgia,4/2/2020,-29.0,11.0,-15.0,-46.0,-47.0,19.0
Hawaii,4/2/2020,-50.0,-27.0,-63.0,-69.0,-49.0,23.0
Idaho,4/2/2020,-38.0,-10.0,29.0,-31.0,-46.0,18.0
Illinois,4/2/2020,-42.0,-8.0,15.0,-52.0,-52.0,22.0
Indiana,4/2/2020,-36.0,-9.0,80.0,-26.0,-48.0,19.0
Iowa,4/2/2020,-39.0,-5.0,62.0,-22.0,-40.0,18.0
Kansas,4/2/2020,-41.0,-12.0,38.0,-24.0,-46.0,19.0
Kentucky,4/2/2020,-33.0,-3.0,42.0,-30.0,-46.0,17.0
Louisiana,4/2/2020,-38.0,-6.0,-20.0,-44.0,-45.0,19.0
Maine,4/2/2020,-56.0,-27.0,-42.0,-56.0,-47.0,22.0
Maryland,4/2/2020,-42.0,-21.0,0.0,-56.0,-56.0,25.0
Massachusetts,4/2/2020,-50.0,-17.0,-30.0,-73.0,-59.0,27.0
Michigan,4/2/2020,-49.0,-16.0,99.0,-48.0,-61.0,24.0
Minnesota,4/2/2020,-46.0,-18.0,25.0,-58.0,-51.0,24.0
Mississippi,4/2/2020,-21.0,12.0,10.0,-21.0,-37.0,14.0
Missouri,4/2/2020,-36.0,-4.0,36.0,-32.0,-46.0,18.0
Montana,4/2/2020,-45.0,-15.0,-11.0,-39.0,-44.0,18.0
Nebraska,4/2/2020,-40.0,-9.0,-2.0,-22.0,-39.0,19.0
Nevada,4/2/2020,-40.0,-12.0,-36.0,-57.0,-54.0,21.0
New Hampshire,4/2/2020,-44.0,-16.0,-28.0,-50.0,-48.0,23.0
New Jersey,4/2/2020,-51.0,-15.0,3.0,-67.0,-61.0,28.0
New Mexico,4/2/2020,-34.0,-6.0,2.0,-26.0,-47.0,19.0
New York,4/2/2020,-54.0,-20.0,-26.0,-69.0,-62.0,27.0
North Carolina,4/2/2020,-37.0,-11.0,7.0,-47.0,-45.0,18.0
North Dakota,4/2/2020,-55.0,-24.0,-42.0,-42.0,-40.0,22.0
Ohio,4/2/2020,-37.0,-7.0,87.0,-28.0,-49.0,20.0
Oklahoma,4/2/2020,-30.0,-1.0,16.0,-20.0,-42.0,16.0
Oregon,4/2/2020,-42.0,-12.0,-3.0,-46.0,-50.0,19.0
Pennsylvania,4/2/2020,-45.0,-18.0,7.0,-53.0,-53.0,22.0
Rhode Island,4/2/2020,-44.0,-14.0,-5.0,-62.0,-50.0,22.0
South Carolina,4/2/2020,-33.0,-4.0,-20.0,-29.0,-41.0,16.0
South Dakota,4/2/2020,-50.0,-18.0,-27.0,-34.0,-39.0,21.0
Tennessee,4/2/2020,-33.0,0.0,11.0,-31.0,-42.0,16.0
Texas,4/2/2020,-39.0,-14.0,-22.0,-43.0,-48.0,21.0
Utah,4/2/2020,-37.0,-9.0,8.0,-46.0,-49.0,21.0
Vermont,4/2/2020,-54.0,-30.0,-36.0,-55.0,-55.0,24.0
Virginia,4/2/2020,-38.0,-12.0,9.0,-52.0,-49.0,21.0
Washington,4/2/2020,-44.0,-16.0,-1.0,-59.0,-58.0,23.0
West Virginia,4/2/2020,-35.0,-10.0,-2.0,-31.0,-42.0,16.0
Wisconsin,4/2/2020,-44.0,-16.0,91.0,-31.0,-45.0,20.0
Wyoming,4/2/2020,-44.0,-17.0,-35.0,-21.0,-41.0,19.0
Alabama,4/20/2020,-23.0,-6.0,13.0,-25.0,-39.0,14.0
Alaska,4/20/2020,-25.0,-9.0,7.0,-44.0,-40.0,15.0
Arizona,4/20/2020,-33.0,-16.0,-13.0,-39.0,-46.0,16.0
Arkansas,4/20/2020,-16.0,-2.0,35.0,-20.0,-34.0,12.0
California,4/20/2020,-54.0,-19.0,-34.0,-53.0,-50.0,21.0
Colorado,4/20/2020,-37.0,-19.0,27.0,-51.0,-49.0,18.0
Connecticut,4/20/2020,-39.0,-19.0,17.0,-52.0,-50.0,21.0
Delaware,4/20/2020,-37.0,-21.0,-13.0,-45.0,-48.0,19.0
District of Columbia,4/20/2020,-62.0,-34.0,-55.0,-76.0,-68.0,28.0
Florida,4/20/2020,-44.0,-25.0,-54.0,-58.0,-46.0,19.0
Georgia,4/20/2020,-31.0,-12.0,-4.0,-51.0,-46.0,18.0
Hawaii,4/20/2020,-51.0,-29.0,-65.0,-67.0,-47.0,21.0
Idaho,4/20/2020,-21.0,-4.0,110.0,-23.0,-37.0,11.0
Illinois,4/20/2020,-37.0,-14.0,13.0,-51.0,-50.0,19.0
Indiana,4/20/2020,-25.0,-9.0,66.0,-22.0,-44.0,16.0
Iowa,4/20/2020,-31.0,-2.0,77.0,-24.0,-39.0,15.0
Kansas,4/20/2020,-30.0,-13.0,85.0,-24.0,-42.0,15.0
Kentucky,4/20/2020,-25.0,-6.0,53.0,-31.0,-43.0,16.0
Louisiana,4/20/2020,-31.0,-11.0,-8.0,-41.0,-40.0,16.0
Maine,4/20/2020,-31.0,-13.0,35.0,-48.0,-48.0,16.0
Maryland,4/20/2020,-39.0,-22.0,0.0,-56.0,-54.0,23.0
Massachusetts,4/20/2020,-45.0,-25.0,5.0,-72.0,-62.0,25.0
Michigan,4/20/2020,-44.0,-20.0,52.0,-50.0,-58.0,22.0
Minnesota,4/20/2020,-38.0,-16.0,22.0,-57.0,-48.0,20.0
Mississippi,4/20/2020,-18.0,-4.0,0.0,-24.0,-36.0,13.0
Missouri,4/20/2020,-29.0,-8.0,41.0,-32.0,-44.0,16.0
Montana,4/20/2020,-28.0,-2.0,72.0,-26.0,-37.0,11.0
Nebraska,4/20/2020,-24.0,-6.0,62.0,-16.0,-38.0,15.0
Nevada,4/20/2020,-42.0,-18.0,-38.0,-54.0,-51.0,19.0
New Hampshire,4/20/2020,-32.0,-18.0,47.0,-49.0,-47.0,19.0
New Jersey,4/20/2020,-58.0,-24.0,-18.0,-67.0,-59.0,26.0
New Mexico,4/20/2020,-30.0,-9.0,1.0,-30.0,-45.0,16.0
New York,4/20/2020,-59.0,-23.0,-19.0,-68.0,-59.0,25.0
North Carolina,4/20/2020,-34.0,-14.0,-11.0,-50.0,-44.0,18.0
North Dakota,4/20/2020,-34.0,-15.0,11.0,-33.0,-34.0,16.0
Ohio,4/20/2020,-30.0,-11.0,93.0,-27.0,-46.0,17.0
Oklahoma,4/20/2020,-20.0,-6.0,27.0,-18.0,-40.0,14.0
Oregon,4/20/2020,-31.0,-11.0,47.0,-40.0,-46.0,15.0
Pennsylvania,4/20/2020,-41.0,-21.0,20.0,-54.0,-51.0,20.0
Rhode Island,4/20/2020,-37.0,-21.0,18.0,-66.0,-50.0,20.0
South Carolina,4/20/2020,-30.0,-11.0,-25.0,-33.0,-40.0,16.0
South Dakota,4/20/2020,-28.0,-4.0,54.0,-20.0,-35.0,15.0
Tennessee,4/20/2020,-25.0,-7.0,3.0,-30.0,-40.0,15.0
Texas,4/20/2020,-33.0,-16.0,-15.0,-42.0,-45.0,18.0
Utah,4/20/2020,-27.0,-10.0,57.0,-41.0,-46.0,17.0
Vermont,4/20/2020,-40.0,-23.0,32.0,-50.0,-53.0,19.0
Virginia,4/20/2020,-38.0,-19.0,-11.0,-54.0,-48.0,21.0
Washington,4/20/2020,-34.0,-14.0,33.0,-53.0,-53.0,19.0
West Virginia,4/20/2020,-26.0,-10.0,16.0,-26.0,-41.0,14.0
Wisconsin,4/20/2020,-38.0,-18.0,50.0,-33.0,-43.0,18.0
Wyoming,4/20/2020,-22.0,-5.0,37.0,-12.0,-33.0,12.0
Alabama,4/21/2020,-23.0,-4.0,18.0,-23.0,-38.0,15.0
Alaska,4/21/2020,-27.0,-10.0,3.0,-46.0,-40.0,17.0
Arizona,4/21/2020,-34.0,-15.0,-16.0,-37.0,-46.0,17.0
Arkansas,4/21/2020,-15.0,1.0,85.0,-16.0,-35.0,11.0
California,4/21/2020,-53.0,-17.0,-25.0,-52.0,-51.0,21.0
Colorado,4/21/2020,-38.0,-19.0,10.0,-52.0,-52.0,21.0
Connecticut,4/21/2020,-46.0,-25.0,-28.0,-55.0,-52.0,24.0
Delaware,4/21/2020,-38.0,-19.0,-13.0,-51.0,-48.0,20.0
District of Columbia,4/21/2020,-63.0,-33.0,-61.0,-78.0,-69.0,28.0
Florida,4/21/2020,-41.0,-20.0,-43.0,-53.0,-46.0,19.0
Georgia,4/21/2020,-30.0,-9.0,6.0,-47.0,-46.0,19.0
Hawaii,4/21/2020,-52.0,-30.0,-66.0,-67.0,-49.0,23.0
Idaho,4/21/2020,-23.0,-1.0,109.0,-21.0,-42.0,14.0
Illinois,4/21/2020,-38.0,-12.0,0.0,-51.0,-51.0,20.0
Indiana,4/21/2020,-27.0,-7.0,42.0,-21.0,-45.0,17.0
Iowa,4/21/2020,-32.0,1.0,107.0,-18.0,-41.0,16.0
Kansas,4/21/2020,-27.0,-10.0,132.0,-20.0,-44.0,16.0
Kentucky,4/21/2020,-26.0,-3.0,53.0,-26.0,-44.0,16.0
Louisiana,4/21/2020,-26.0,-4.0,-5.0,-37.0,-41.0,15.0
Maine,4/21/2020,-37.0,-15.0,10.0,-46.0,-45.0,18.0
Maryland,4/21/2020,-39.0,-21.0,1.0,-56.0,-55.0,24.0
Massachusetts,4/21/2020,-50.0,-29.0,-28.0,-72.0,-59.0,26.0
Michigan,4/21/2020,-49.0,-20.0,-11.0,-53.0,-60.0,25.0
Minnesota,4/21/2020,-36.0,-12.0,48.0,-53.0,-48.0,21.0
Mississippi,4/21/2020,-15.0,0.0,16.0,-18.0,-37.0,13.0
Missouri,4/21/2020,-28.0,-5.0,82.0,-28.0,-46.0,16.0
Montana,4/21/2020,-31.0,1.0,93.0,-24.0,-39.0,12.0
Nebraska,4/21/2020,-25.0,-7.0,97.0,-12.0,-40.0,16.0
Nevada,4/21/2020,-39.0,-14.0,-32.0,-50.0,-52.0,20.0
New Hampshire,4/21/2020,-38.0,-17.0,-5.0,-49.0,-48.0,21.0
New Jersey,4/21/2020,-60.0,-25.0,-33.0,-69.0,-60.0,27.0
New Mexico,4/21/2020,-30.0,-6.0,-3.0,-26.0,-45.0,17.0
New York,4/21/2020,-63.0,-27.0,-43.0,-71.0,-60.0,27.0
North Carolina,4/21/2020,-29.0,-7.0,29.0,-41.0,-43.0,16.0
North Dakota,4/21/2020,-34.0,-11.0,44.0,-25.0,-36.0,17.0
Ohio,4/21/2020,-33.0,-12.0,30.0,-28.0,-47.0,18.0
Oklahoma,4/21/2020,-21.0,-2.0,59.0,-16.0,-40.0,14.0
Oregon,4/21/2020,-35.0,-11.0,27.0,-41.0,-47.0,17.0
Pennsylvania,4/21/2020,-44.0,-22.0,-23.0,-55.0,-52.0,22.0
Rhode Island,4/21/2020,-43.0,-24.0,-23.0,-68.0,-51.0,23.0
South Carolina,4/21/2020,-25.0,-4.0,-6.0,-23.0,-40.0,15.0
South Dakota,4/21/2020,-27.0,2.0,128.0,-11.0,-38.0,14.0
Tennessee,4/21/2020,-24.0,-4.0,18.0,-26.0,-41.0,15.0
Texas,4/21/2020,-32.0,-14.0,-9.0,-40.0,-47.0,19.0
Utah,4/21/2020,-28.0,-10.0,77.0,-42.0,-47.0,18.0
Vermont,4/21/2020,-46.0,-24.0,-14.0,-55.0,-54.0,22.0
Virginia,4/21/2020,-34.0,-12.0,25.0,-48.0,-49.0,20.0
Washington,4/21/2020,-37.0,-15.0,14.0,-54.0,-54.0,21.0
West Virginia,4/21/2020,-27.0,-7.0,0.0,-23.0,-42.0,14.0
Wisconsin,4/21/2020,-39.0,-14.0,52.0,-31.0,-44.0,19.0
Wyoming,4/21/2020,-21.0,-2.0,61.0,-7.0,-34.0,12.0
Alabama,4/22/2020,-23.0,-3.0,13.0,-22.0,-40.0,15.0
Alaska,4/22/2020,-24.0,-9.0,21.0,-45.0,-40.0,16.0
Arizona,4/22/2020,-34.0,-14.0,-16.0,-36.0,-47.0,17.0
Arkansas,4/22/2020,-25.0,-8.0,-11.0,-23.0,-36.0,15.0
California,4/22/2020,-53.0,-16.0,-25.0,-52.0,-51.0,22.0
Colorado,4/22/2020,-38.0,-18.0,19.0,-52.0,-53.0,20.0
Connecticut,4/22/2020,-40.0,-17.0,5.0,-51.0,-52.0,22.0
Delaware,4/22/2020,-35.0,-15.0,0.0,-44.0,-48.0,19.0
District of Columbia,4/22/2020,-61.0,-31.0,-57.0,-77.0,-70.0,28.0
Florida,4/22/2020,-41.0,-20.0,-40.0,-54.0,-46.0,19.0
Georgia,4/22/2020,-30.0,-11.0,11.0,-46.0,-47.0,18.0
Hawaii,4/22/2020,-51.0,-30.0,-61.0,-68.0,-48.0,23.0
